[2025-09-13 12:31:57] ✅ Đã lưu text từ 000000014208258_Bao_cao_tai_chinh_1.pdf vào folder_2.5_txt\000000014208258_Bao_cao_tai_chinh_1.txt
[2025-09-13 12:32:05] ✅ Đã lưu text từ 000000014209186_2024_10_21_Bao_cao_tai_chinh_Quy_III_final_signed.pdf vào folder_2.5_txt\000000014209186_2024_10_21_Bao_cao_tai_chinh_Quy_III_final_signed.txt
[2025-09-13 12:32:06] ✅ Đã lưu text từ 000000014209202_BCTC_quy_32024_0001.pdf vào folder_2.5_txt\000000014209202_BCTC_quy_32024_0001.txt
[2025-09-13 12:32:25] ✅ Đã lưu text từ 000000014209949_CONGBOTHONGTINBAOCAOTAICHINHHOPNHATQUYIII2024.pdf vào folder_2.5_txt\000000014209949_CONGBOTHONGTINBAOCAOTAICHINHHOPNHATQUYIII2024.txt
[2025-09-13 12:32:27] ✅ Đã lưu text từ 000000014209990_CONGBOTHONGTINBAOCAOTAICHINHRIENGQUYIII2024.pdf vào folder_2.5_txt\000000014209990_CONGBOTHONGTINBAOCAOTAICHINHRIENGQUYIII2024.txt
[2025-09-13 12:32:28] ✅ Đã lưu text từ 000000014210767_GAB__signCBTT_Bao_cao_tai_chinh_quy_3.2024.pdf vào folder_2.5_txt\000000014210767_GAB__signCBTT_Bao_cao_tai_chinh_quy_3.2024.txt
[2025-09-13 12:32:40] ✅ Đã lưu text từ 000000014211679_PVI_BctcHopNhat_Quy3.2024.pdf vào folder_2.5_txt\000000014211679_PVI_BctcHopNhat_Quy3.2024.txt
[2025-09-13 12:32:48] ✅ Đã lưu text từ 000000014211893_BCTC_QUY_03.2024_Da_Ky.pdf vào folder_2.5_txt\000000014211893_BCTC_QUY_03.2024_Da_Ky.txt
[2025-09-13 12:32:49] ✅ Đã lưu text từ 000000014211715_BCTC_QUY_III_va_GTRINH__Ky_so.pdf vào folder_2.5_txt\000000014211715_BCTC_QUY_III_va_GTRINH__Ky_so.txt
[2025-09-13 12:32:57] ✅ Đã lưu text từ 000000014212134_BCTC_HN_Quy_III_2024_da_ky_so.pdf vào folder_2.5_txt\000000014212134_BCTC_HN_Quy_III_2024_da_ky_so.txt
[2025-09-13 12:33:11] ✅ Đã lưu text từ 000000014214225_BCTC_QUY_III.2024.pdf vào folder_2.5_txt\000000014214225_BCTC_QUY_III.2024.txt
[2025-09-13 12:33:26] ✅ Đã lưu text từ 000000014214241_BCTC_2024.Q3.pdf vào folder_2.5_txt\000000014214241_BCTC_2024.Q3.txt
[2025-09-13 12:33:26] ✅ Đã lưu text từ 000000014212214_BCTCHN_6T.2024_soat_xet_signed.pdf vào folder_2.5_txt\000000014212214_BCTCHN_6T.2024_soat_xet_signed.txt
[2025-09-13 12:33:35] ✅ Đã lưu text từ 000000014212362_BCTCR_6T.2024_soat_xet_Signed.pdf vào folder_2.5_txt\000000014212362_BCTCR_6T.2024_soat_xet_Signed.txt
[2025-09-13 12:33:45] ✅ Đã lưu text từ 000000014215424_NDN_CBTT_Bao_cao_tai_chinh_Quy_3.2024.pdf vào folder_2.5_txt\000000014215424_NDN_CBTT_Bao_cao_tai_chinh_Quy_3.2024.txt
[2025-09-13 12:33:51] ✅ Đã lưu text từ 000000014215931_BCTC_Me_Quy_3.2024__PTS_chung_khoan__sign.pdf vào folder_2.5_txt\000000014215931_BCTC_Me_Quy_3.2024__PTS_chung_khoan__sign.txt
[2025-09-13 12:33:55] ✅ Đã lưu text từ 000000014215988_BC_Vv_giai_trinh_Bao_cao_tai_chinh_Quy_III_nam_2024_2310.pdf vào folder_2.5_txt\000000014215988_BC_Vv_giai_trinh_Bao_cao_tai_chinh_Quy_III_nam_2024_2310.txt
[2025-09-13 12:34:03] ✅ Đã lưu text từ 000000014217093_BAO_CAO_TAI_CHINH_QUY_III_NAM_2024.pdf vào folder_2.5_txt\000000014217093_BAO_CAO_TAI_CHINH_QUY_III_NAM_2024.txt
[2025-09-13 12:34:12] ✅ Đã lưu text từ 000000014218732_CBTT_BCTC_Quy_32024signed.pdf vào folder_2.5_txt\000000014218732_CBTT_BCTC_Quy_32024signed.txt
[2025-09-13 12:34:15] ✅ Đã lưu text từ 000000014217197_BAO_CAO_TAI_CHINH_HOP_NHAT_QUY_III_2024.pdf vào folder_2.5_txt\000000014217197_BAO_CAO_TAI_CHINH_HOP_NHAT_QUY_III_2024.txt
[2025-09-13 12:34:18] ✅ Đã lưu text từ 000000014219017_BCTC_Q3_2024_Daky.pdf vào folder_2.5_txt\000000014219017_BCTC_Q3_2024_Daky.txt
[2025-09-13 12:34:29] ✅ Đã lưu text từ 000000014218883_CBTT_BCTC_rieng_quy_III.2024.signed.pdf vào folder_2.5_txt\000000014218883_CBTT_BCTC_rieng_quy_III.2024.signed.txt
[2025-09-13 12:34:35] ✅ Đã lưu text từ 000000014219139_BCTC_SSM_quy_3_nam_2024_signed_moi.pdf vào folder_2.5_txt\000000014219139_BCTC_SSM_quy_3_nam_2024_signed_moi.txt
[2025-09-13 12:34:45] ✅ Đã lưu text từ 000000014219915_BCTC_QUY_III_2024_TH10242024053936.pdf vào folder_2.5_txt\000000014219915_BCTC_QUY_III_2024_TH10242024053936.txt
[2025-09-13 12:34:51] ✅ Đã lưu text từ 000000014220605_10214_BCTC_tong_hop_Q3_2024_sign.pdf vào folder_2.5_txt\000000014220605_10214_BCTC_tong_hop_Q3_2024_sign.txt
[2025-09-13 12:35:02] ✅ Đã lưu text từ 000000014220776_10214_BCTC_hop_nhat_Q3_2024_sign.pdf vào folder_2.5_txt\000000014220776_10214_BCTC_hop_nhat_Q3_2024_sign.txt
[2025-09-13 12:35:02] ✅ Đã lưu text từ 000000014221001_BCTC_RIENG_QUY_III.2024_ky_so.pdf vào folder_2.5_txt\000000014221001_BCTC_RIENG_QUY_III.2024_ky_so.txt
[2025-09-13 12:35:21] ✅ Đã lưu text từ 000000014221419_BCTC_Rieng_Quy_3.signed.pdf vào folder_2.5_txt\000000014221419_BCTC_Rieng_Quy_3.signed.txt
[2025-09-13 12:35:23] ✅ Đã lưu text từ 000000014221854_BCTC_quy_32024_Cong_ty_me.pdf vào folder_2.5_txt\000000014221854_BCTC_quy_32024_Cong_ty_me.txt
[2025-09-13 12:35:24] ✅ Đã lưu text từ 000000014221426_BCTC_Hop_nhat_Quy_3.signed.pdf vào folder_2.5_txt\000000014221426_BCTC_Hop_nhat_Quy_3.signed.txt
[2025-09-13 12:35:24] ✅ Đã lưu text từ 000000014221861_BCTC_Hop_nhat_quy_32024.pdf vào folder_2.5_txt\000000014221861_BCTC_Hop_nhat_quy_32024.txt
[2025-09-13 12:35:54] ✅ Đã lưu text từ 000000014222645_CBTTBCTC_Hop_nhat_Quy_3.2024.pdf vào folder_2.5_txt\000000014222645_CBTTBCTC_Hop_nhat_Quy_3.2024.txt
[2025-09-13 12:35:58] ✅ Đã lưu text từ 000000014222725_CBTTBCTC_Rieng_Quy_3.2024.pdf vào folder_2.5_txt\000000014222725_CBTTBCTC_Rieng_Quy_3.2024.txt
[2025-09-13 12:36:09] ✅ Đã lưu text từ 000000014222216_BCTC_Q3.2024_HN_signed.pdf vào folder_2.5_txt\000000014222216_BCTC_Q3.2024_HN_signed.txt
[2025-09-13 12:36:29] ✅ Đã lưu text từ 000000014222924_Q3_bctc_rieng.pdf vào folder_2.5_txt\000000014222924_Q3_bctc_rieng.txt
[2025-09-13 12:36:39] ✅ Đã lưu text từ 000000014222808_3._BCTC_CONSO_Q3.2024_sign.pdf vào folder_2.5_txt\000000014222808_3._BCTC_CONSO_Q3.2024_sign.txt
[2025-09-13 12:36:39] ✅ Đã lưu text từ 000000014222958_TCW._BCTC_ME_9T_2024__signed.pdf vào folder_2.5_txt\000000014222958_TCW._BCTC_ME_9T_2024__signed.txt
[2025-09-13 12:36:49] ✅ Đã lưu text từ 000000014222127_MHT_BCTC_Q3_2024_hop_nhat__sign.pdf vào folder_2.5_txt\000000014222127_MHT_BCTC_Q3_2024_hop_nhat__sign.txt
[2025-09-13 12:36:54] ✅ Đã lưu text từ 000000014222986_BCTC_HN_QUY_3_2024_SIGN.pdf vào folder_2.5_txt\000000014222986_BCTC_HN_QUY_3_2024_SIGN.txt
